0,"[0.0, 4503288.6915000025, 29015800.851761665, 57444662.73190198, 98829863.39010482, 156545066.4748196, 233179327.34761146, 332422566.3605732, 367800668.8076226, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
330,"[0.0, 3328517.728500001, 27886909.28802209, 55283353.03307727, 95079684.3662338, 150561178.77127472, 224245115.23090115, 321358322.7749806, 366649535.8913972, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
300,"[0.0, 3915903.210000002, 28074370.27116898, 55287802.63484208, 95487242.36590303, 151210290.69730794, 225310653.89339295, 322644288.0491481, 364605757.44364697, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
270,"[0.0, 4699083.852000003, 28862334.690217018, 57069993.19493176, 98192844.37397699, 155553432.76614654, 231805849.68184984, 329723008.4999196, 368456743.83567846, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
240,"[0.0, 4699083.852000003, 27930330.07453047, 55183350.53294544, 95057194.24104719, 150449248.83814898, 224182448.09477395, 323308551.4823641, 367804059.411336, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
210,"[0.0, 5482264.494000004, 28038034.17196456, 56111578.895721704, 97182963.80702361, 153918653.0841098, 229350892.97946706, 326591155.59228384, 364390316.1857591, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
180,"[0.0, 4111698.370500002, 29038179.76515268, 57465659.64008478, 98854528.06628788, 156590340.7535942, 233273580.2801393, 332124917.1352596, 367965114.3661653, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
Wind speeds,"[2.9, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0]"
150,"[0.0, 2936927.4075000007, 27910014.87838949, 55634320.05653807, 95687169.7211663, 151483819.64447242, 225618574.20122975, 323100164.94425684, 366611316.17345756, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
120,"[0.0, 4111698.370500002, 28305514.791078083, 55443831.740851656, 96093722.94986367, 152233958.89726323, 226862782.78700906, 324021247.005722, 364467483.58366686, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
90,"[0.0, 5678059.654500004, 29058908.54843428, 57575538.473940186, 99115866.3106763, 156961156.20162782, 233925842.26081735, 331483090.920559, 366942093.7196956, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
60,"[0.0, 4111698.370500002, 27729503.360133152, 55110679.05328661, 94845044.1766484, 150116108.29185584, 223754090.20644894, 322665569.19619143, 368276390.3961108, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
30,"[0.0, 5090674.173000003, 27761612.626766913, 56133540.405954644, 96866287.13135535, 153356576.95989066, 228504433.60006186, 326319815.27485913, 364476129.5672537, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 370000000.0, 0.0]"
