Component,Mass,Cost
Blade,47700,723349.627023951
Hub,51186.1,217540.925
Pitch,25817.212,305021.543284278
Spinner,3142.5,17503.725
LSS,60961.7483524072,42704.3783583785
Main Bearing,13230.9745530823,465730.304268497
Second Bearing,4011.7013,4011.7013
Gearbox,86824.8922858105,1074207.05539968
HSS,4568.4402,19893.546
Generator,31630.3706199512,650000
Mainframe,68277.2215313964,290139.970941075
Yaw,58818.0920406948,435056.155543655
Converter,0,395000
HVAC,800,120000
Cover,11921.97,119219.7
Electrical,0,400000
Controls,0,55000
Transformer,13821.5,259844.2
